title,video_id,published_at,channel_title
Pentagon sets record straight on &#39;egregious&#39; Elon Musk report: &#39;This is fake!&#39;,nnqnvOPaN_0,2025-03-21T13:01:11Z,Fox
Karoline Leavitt breaks down why Trump is abolishing Education Dept.,Qqr6M_rrew4,2025-03-20T17:13:22Z,Fox
$57 million per year taxpayer-funded lease sits nearly empty,dnPplKYqttU,2025-03-18T12:59:43Z,Fox
Diversity is &#39;dead&#39; in the Democratic Party: Tomi Lahren,ehmLmrbu1Og,2025-03-14T16:45:02Z,Fox
Elon Musk used to be Dems&#39; hero: Watters,tfDqL6EpstQ,2025-03-13T02:00:39Z,Fox
Sean Duffy: My department&#39;s role is safety,rNM-Fb0jI_0,2025-03-09T04:00:39Z,Fox
Hollywood breaks up with DEI: Gutfeld,ut-x9vdKago,2025-03-08T14:00:58Z,Fox
Gov. Glenn Youngkin: DEI is done at UVA,MwvB6CTfX_A,2025-03-08T12:00:33Z,Fox
Democrats confronted after Trump speech: &#39;Why didn&#39;t you stand?&#39;,sNphJuRp5m0,2025-03-07T11:01:16Z,Fox
Kid Rock dishes on Elon Musk,AuKGx45tSwA,2025-03-05T10:15:00Z,Fox
Jesse Watters Primetime&#39; asks: What did you accomplish last week on the job?,jV2RIuU6DLY,2025-03-02T10:30:17Z,Fox
Stephen A. Smith calls out politics for being a ‘cesspool’,mcaNJtoifkA,2025-02-28T04:45:02Z,Fox
DOGE task force uncovers millions of waste in HUD,-ZPpCv6FQUo,2025-02-27T18:33:28Z,Fox
&#39;Sanctuary&#39; mayor&#39;s approval plummets to SHOCKING low,Be2bdG0Ogk0,2025-02-27T18:00:15Z,Fox
Sen. Tom Cotton slams explicit NSA chats,io-4LiNkKBg,2025-02-26T22:45:02Z,Fox
&#39;Jesse Watters Primetime&#39; unpacks the drama behind Obama&#39;s presidential library,mE_R5Qaey4I,2025-02-24T02:00:27Z,Fox
&#39;SPARE ME&#39;: AOC mocked for latest anti-Musk rant,9igOj7NceMU,2025-02-21T18:15:00Z,Fox
George Clooney rips media for &#39;dropping the ball&#39; on Biden&#39;s decline,Qi0FQtlm7co,2025-02-21T15:30:18Z,Fox
&#39;DEI IS DEAD&#39;: HUD announces cancellation of $4M in DEI contracts,l1ee6DVnEQ0,2025-02-20T21:15:02Z,Fox
Trump backs giving DOGE savings to US taxpayers: &#39;I love it!&#39;,kPuc_6hZexw,2025-02-20T19:00:33Z,Fox
President Trump: DEI was &quot;a sick trap&quot;,jzHWRb5WDvw,2025-02-20T18:31:32Z,Fox
Laura Ingraham: What on earth is going on here?,HURaqh8TOcE,2025-02-20T02:30:15Z,Fox
"Trump, Musk warn Americans what will lead the country to go bankrupt",aao0bl7RlKo,2025-02-19T04:00:04Z,Fox
"Trump, Musk pull curtain back behind relationship, media&#39;s divide and conquer mission",hMbcMO5JgEo,2025-02-19T02:35:07Z,Fox
New Dem leader makes &#39;damning&#39; admission about party,lQPnH2MXmEU,2025-02-18T20:30:11Z,Fox
"NEW: Video shows Delta plane crash-landing, flipping over in Toronto",b7dmHjDx_uQ,2025-02-18T18:30:26Z,Fox
"Delta plane landed &#39;way slow,&#39; former pilot says",UIFrH9mA0YY,2025-02-17T21:45:01Z,Fox
Jesse Watters praises Elon for exposing &quot;dark underbelly&quot; of the government,lcuBo9ZIXuo,2025-02-12T17:00:04Z,Fox
Karoline Leavitt: Democrats learned nothing from their devastating defeat,ho_UuMliFPQ,2025-02-11T20:30:06Z,Fox
Alleged USAID whistleblower calls out ‘culture of corruption’,_7ijceE8DSk,2025-02-07T08:15:02Z,Fox
Jesse Watters: Dems are going nuclear,1Xh0hJl7c5I,2025-02-07T03:00:01Z,Fox
Jesse Watters: This is the central theme of USAID&#39;s wasteful spending,7YsrnYd1GiU,2025-02-06T00:00:08Z,Fox
Stephen A. Smith: I could beat any of these Democrats for president,jIdYIQEYg-I,2025-02-05T21:45:02Z,Fox
Jimmy Failla: Democrats &quot;flipping out&quot; that their DEI overspending is exposed,4ORYujtUJBA,2025-02-05T20:59:34Z,Fox
Dems fume over Elon Musk&#39;s DOGE team at House hearing,F_IJcxerArQ,2025-02-05T19:58:46Z,Fox
Hannity: This is why Democrats ‘hate’ Elon Musk,kLV0iJhB3Oc,2025-02-05T03:15:03Z,Fox
DOGE DISCOVERIES: Musk takes hammer to &#39;insane&#39; government spending and USAID,vZj3Fjz-B7Y,2025-02-05T02:30:36Z,Fox
Elon Musk reveals handpicked DOGE team of young engineers,IXAzrwGXFH4,2025-02-04T18:30:14Z,Fox
"RFK Jr. narrowly ESCAPES, Tulsi rising! Rep. Crockett tired of &#39;White Tears&#39; | Will Cain Show",m7eIzI8Xyns,2025-02-04T18:05:45Z,Fox
Sean Hannity: This is nothing but shock and awe,fNgZCpSKvcM,2025-02-04T04:00:20Z,Fox
&#39;Beyond parody&#39;: Dems mocked for cringeworthy DNC forum,e4-jLKXi38w,2025-02-03T23:00:40Z,Fox
"Musk and DOGE dismantle USAID! PLUS, can A.I. cure cancer? | Will Cain Show",ZgZS-fbFQes,2025-02-03T18:18:19Z,Fox
Elon Musk says Trump agrees USAID should be shut down: It&#39;s &#39;beyond repair&#39;,IHo3gkYxpak,2025-02-03T16:30:03Z,Fox
"Without respectful debate in college, the education system is undermined: Riley Gaines Center amb.",Kzs16TnIkBg,2025-02-03T06:00:12Z,Fox
EXCLUSIVE: Vice President Vance shares whether he plans to run for president in 2028,npVVFP0uPJE,2025-02-02T22:00:34Z,Fox
FAA Academy struggled to fill classes over DEI quotas: Sen. Mullin,XmpkoJhqUP8,2025-02-01T18:45:01Z,Fox
"TRUMP 2.0: Packed week of presidential orders surrounding tariffs, deportations, DEI and more",wzMuqicMiE8,2025-02-01T13:45:05Z,Fox
WATCH: Philadelphia plane crash witnesses speak out: A big &#39;ball of fire&#39;,D-zEpYikNsc,2025-02-01T05:00:17Z,Fox
"Trump admin to pause federal government websites in effort to eliminate DEI, anti-Trump content",olNbh2t-mT0,2025-01-31T23:21:41Z,Fox
"Trump updates tariff situation, doubles down on DEI policy",Jg10t8KaCME,2025-01-31T22:00:54Z,Fox
Costco shoppers react as company doubles down on DEI despite Trump’s call for businesses to end it,blyxmOSxD1s,2025-01-31T21:57:59Z,Fox
Trump launches Rapid Response to fight &#39;fake news&#39;,dVzwtg7fEVA,2025-01-31T21:30:03Z,Fox
Hegseth: &#39;Worst of the worst&#39; will go to Guantanamo Bay,ycudDIUM9JU,2025-01-31T14:45:10Z,Fox
Peter Doocy: Trump is turning things upside down,UL9LBWnNNz0,2025-01-31T13:15:04Z,Fox
Hannity: Proof that DEI overtook the FAA,da-z9ZY0g70,2025-01-31T04:00:33Z,Fox
DEI is the media’s ‘baby’: Watters,gWBYqEs3sYY,2025-01-31T03:15:03Z,Fox
JD Vance: President Trump is looking after American citizens,o98Po0lWZxE,2025-01-30T21:15:02Z,Fox
DC plane crash: Aviation expert reveals why collision system was not in play,wkEMGR2RvtM,2025-01-30T20:30:11Z,Fox
President Trump attacks DEI policies after DC plane crash,WQSGdA3mfw4,2025-01-30T19:29:22Z,Fox
&#39;Consoler-in-chief&#39;: Trump expresses grief for &#39;every previous soul&#39; in DC plane crash,oDcG8552ZAs,2025-01-30T19:00:28Z,Fox
