comment,likes,published_at
Got it. So America is no different from N. Korea then,2,2025-04-16T11:25:57Z
This coming from government too big party?,0,2025-04-16T11:25:37Z
If they are taking public money then they are not private,3,2025-04-16T11:25:29Z
Really enjoyed this interview and Jonathan made great points. Antisemitism is a problem and Trump throwing around the term willy nilly is damaging.,0,2025-04-16T11:24:02Z
Stalin did away with intelligentsia…😢,0,2025-04-16T11:19:27Z
🇺🇸☹️👈😅😅😂,0,2025-04-16T11:15:05Z
Universities are for studies and not centre of political extremism,0,2025-04-16T11:13:21Z
Can't say you are a private university and accept billions in grants and tax credit - a paradox right here.  Harvard has one of the biggest endowments - $50B+.  Don't know why they need any government funding at all?,1,2025-04-16T11:12:36Z
"I like how Trump is literally doing everything in the playbook on how to build out a dictatorship and the Americans are like meh, this is fine. One of the first things you do as a dictator is to crack down on universities as they tend to be the centre of free speech and source of intellect.",291,2025-04-16T11:10:45Z
"This has nothing to do with antisemitism. It's about power. Trump wants to dictate to Harvard what it can and can't teach.

Trump will be gone in 4 years, but Harvard will continue long, long after.",1,2025-04-16T11:01:51Z
"Harvard, hold on, he will fade away very soon.",0,2025-04-16T10:54:39Z
Not democracy it’s called Dictator,0,2025-04-16T10:52:54Z
This is crazy,0,2025-04-16T10:48:30Z
Trump embarassed education and its institutions. A fool is a fool. A wasted man put into the American hot seat. What a wasted energy,0,2025-04-16T10:47:02Z
"At least ONE school in the USA had to guts to say no to BULLYING and NO caving in for TYRANNY ! Thank you Harvard, you will remembered for being on the right side of the HISTORY thank you !",0,2025-04-16T10:45:00Z
"Interesting that you interview Harvard alumni about what they think and they admit that Harvard apologized for “student safety issues not for the fact that they were allowing antisemitism on their campus. As far as the $2 billion cut, why don’t you ask someone other than Harvard alumni what they think about 2 billion US tax dollars being saved from Harvard. Somebody like a plumber or a carpenter or the person working at the local grocery store, ask them what they think about $2 billion going to a private university that they will never afford. That money coming from their tax dollars that they work every day and on Saturday.",0,2025-04-16T10:28:40Z
"The US is going full Weimar.
The EU must decouple and pull ahead on its own.
We need to attract the highly educated people who will be fleeing the US and fund ambitious EU-led moonshot programs in aerospace, regenerative medicine, epigenetic cures, anti-aging, bionics, quantum computing, semiconductors and AI",2,2025-04-16T10:27:55Z
